city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,age_group,high_mileage
hyderabad,manual,1,ford,ford ecosport,2017,1.5 tdci titanium bsiv,690000.0,2017,diesel,88695,1498,22.77,7,3.2528571428571427,730169.9346405229,mid-age,1
hyderabad,manual,1,mg,mg hector,2021,sharp diesel mt,1700000.0,2021,diesel,20000,1956,17.41,3,5.803333333333334,1952518.0722891567,mid-age,0
hyderabad,manual,1,tata,tata zest,2014,quadrajet 1.3 xt,252000.0,2014,diesel,99840,1248,20.65,10,2.065,748643.1780487805,old,0
hyderabad,manual,2,volkswagen,volkswagen polo,2012,diesel highline 1.2l,294000.0,2012,diesel,120000,1199,22.07,12,1.8391666666666666,703303.886925795,old,1
hyderabad,manual,1,hyundai,hyundai verna,2023,sx opt turbo,1900000.0,2023,petrol,10000,1482,20.0,1,20.0,605200.0006153847,new,0
hyderabad,automatic,1,honda,honda amaze,2018,s cvt i-vtec,700000.0,2018,petrol,20000,1199,18.1,6,3.016666666666667,624483.4192037471,mid-age,0
hyderabad,automatic,1,honda,honda city,2021,i-vtec cvt zx,1350000.0,2021,petrol,31000,1497,18.0,3,6.0,624483.4192037471,mid-age,0
hyderabad,manual,2,tata,tata tiago,2018,1.2 revotron xz,470000.0,2019,petrol,93407,1199,23.84,5,4.768,748643.1780487805,mid-age,1
hyderabad,manual,2,maruti,maruti swift,2011,lxi,320000.0,2011,petrol,75932,1197,22.38,13,1.7215384615384615,504649.26094808127,old,1
hyderabad,automatic,1,volkswagen,volkswagen polo,2015,gt tsi,650000.0,2015,petrol,44000,1197,17.21,9,1.9122222222222223,703303.886925795,old,0
hyderabad,automatic,1,hyundai,hyundai santro,2019,sportz amt bsiv,529000.0,2020,petrol,62936,1086,20.3,4,5.075,605200.0006153847,mid-age,0
hyderabad,manual,1,hyundai,hyundai i20,2016,asta 1.2,646000.0,2016,petrol,40841,1197,18.6,8,2.325,605200.0006153847,old,0
hyderabad,manual,2,maruti,maruti swift dzire,2016,vdi,480000.0,2016,diesel,150000,1248,26.59,8,3.32375,504649.26094808127,old,1
hyderabad,manual,1,hyundai,hyundai i20,2017,sportz 1.2,607000.0,2017,petrol,66561,1197,18.6,7,2.6571428571428575,605200.0006153847,mid-age,0
hyderabad,manual,2,tata,tata indica v2,2016,ls,160000.0,2016,diesel,114800,1396,25.0,8,3.125,748643.1780487805,old,1
hyderabad,manual,1,maruti,maruti celerio,2016,vxi,374000.0,2017,petrol,97726,998,25.24,7,3.6057142857142854,504649.26094808127,mid-age,1
hyderabad,manual,1,ford,ford ecosport,2019,1.5 petrol titanium bsiv,817000.0,2020,petrol,81462,1497,17.0,4,4.25,730169.9346405229,mid-age,0
hyderabad,manual,1,tata,tata indica v2,2015,ls,180000.0,2015,diesel,120000,1396,25.0,9,2.7777777777777777,748643.1780487805,old,1
hyderabad,automatic,1,maruti,maruti swift,2019,vxi amt,680000.0,2019,petrol,31286,1197,22.56,5,4.512,504649.26094808127,mid-age,1
hyderabad,manual,1,maruti,maruti baleno,2022,alpha bsvi,1000000.0,2022,petrol,20000,1197,22.35,2,11.175,504649.26094808127,new,1
hyderabad,automatic,1,hyundai,hyundai verna,2018,vtvt 1.6 at sx option,1080000.0,2018,petrol,57600,1591,17.0,6,2.8333333333333335,605200.0006153847,mid-age,0
hyderabad,manual,1,chevrolet,chevrolet sail,2013,1.2 ls,315000.0,2013,petrol,54000,1199,18.2,11,1.6545454545454545,253855.25,old,0
