city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl
bangalore,manual,1,renault,renault duster,2014,85ps diesel rxl plus,691000.0,2014,diesel,66463,1461,20.45
bangalore,automatic,1,skoda,skoda rapid,2020,1.0 tsi ambition at,1145000.0,2020,petrol,40844,999,16.24
bangalore,manual,1,volkswagen,volkswagen polo,2021,1.0 tsi comfortline,855000.0000000001,2021,petrol,62696,999,18.53714285714286
bangalore,automatic,1,maruti,maruti swift,2021,amt zxi,800000.0,2021,petrol,30000,1197,21.21
bangalore,manual,1,ford,ford aspire,2017,1.2 ti-vct titanium plus,550000.0,2017,petrol,44000,1196,18.16
bangalore,manual,2,hyundai,hyundai i20,2012,1.2 magna,400000.0,2012,petrol,70000,1197,18.5
bangalore,manual,1,tata,tata indica v2,2012,ls,130000.0,2012,diesel,120000,1396,25.0
bangalore,manual,4,hyundai,hyundai verna,2012,1.6 sx,375000.0,2012,diesel,120000,1582,22.32
bangalore,manual,1,maruti,maruti swift dzire,2020,vxi 1.2,650000.0,2020,petrol,40000,1197,21.21
bangalore,automatic,1,jeep,jeep compass,2021,1.4 limited opt dct bsvi,2550000.0,2021,petrol,10000,1368,14.1
bangalore,manual,1,kia,kia sonet,2021,gtx plus diesel imt bsvi,1300000.0,2021,diesel,80000,1493,19.306249999999995
bangalore,manual,1,maruti,maruti baleno,2016,1.2 alpha,609000.0,2016,petrol,79415,1197,21.4
bangalore,automatic,1,maruti,maruti swift dzire,2017,amt zdi,678000.0,2017,diesel,88411,1248,26.59
bangalore,manual,4,volkswagen,volkswagen vento,2011,diesel highline,375000.0,2011,diesel,120000,1598,20.54
bangalore,manual,1,maruti,maruti swift,2012,vdi,449000.0,2012,diesel,106516,1248,22.9
bangalore,manual,2,maruti,maruti swift,2015,vdi bsiv,552000.0,2015,diesel,88509,1248,25.2
bangalore,manual,1,mahindra,mahindra xuv500,2015,1.99 fwd w8,925000.0,2015,diesel,120000,1997,15.1
bangalore,manual,2,ford,ford ikon,2004,1.6 clxi,56000.0,2004,petrol,80000,1597,14.2
bangalore,manual,1,maruti,maruti swift,2013,lxi,426000.0,2013,petrol,44437,1197,22.38
bangalore,manual,2,hyundai,hyundai i20,2015,asta 1.4 crdi,607000.0,2015,diesel,83731,1396,22.54
bangalore,manual,1,mahindra,mahindra bolero power plus,2018,zlx,844999.9999999999,2018,diesel,77000,1493,16.5
bangalore,automatic,2,mg,mg hector,2020,sharp dct,1650000.0,2020,petrol,23000,1451,14.03014285714286
bangalore,manual,3,ford,ford figo,2012,diesel exi,240000.0,2012,diesel,110000,1399,20.0
bangalore,automatic,1,maruti,maruti wagon r,2022,zxi amt 1.2,680000.0,2022,petrol,30000,1197,20.52
bangalore,manual,2,toyota,toyota innova,2006,2.5 g4 diesel 7-seater,500000.0,2006,diesel,120000,2494,12.8
bangalore,manual,2,tata,tata manza,2011,aura (abs) safire bs iv,250000.0,2011,petrol,60000,1368,13.7
bangalore,manual,1,maruti,maruti baleno,2018,1.2 alpha,720000.0,2018,petrol,80000,1197,21.4
bangalore,manual,4,tata,tata nano,2011,lx,60000.0,2011,petrol,110000,624,26.0
bangalore,automatic,5,skoda,skoda superb,2010,1.8 tsi,357000.0,2010,petrol,70000,1798,12.6
bangalore,manual,1,maruti,maruti ciaz,2018,zeta bsiv,798000.0,2019,petrol,45621,1462,21.56
bangalore,manual,2,renault,renault captur,2018,1.5 diesel rxt mono,858000.0,2019,diesel,38199,1461,20.37
bangalore,manual,3,maruti,maruti esteem,2004,vxi,80000.0,2004,petrol,90000,1298,15.9
