city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl
bangalore,manual,3,maruti,maruti celerio,2015,vxi,400000.0,2015,petrol,120000,998,23.1
bangalore,manual,2,ford,ford ecosport,2018,1.5 petrol titanium bsiv,811000.0,2018,petrol,32706,1497,17.0
bangalore,manual,1,tata,tata tiago,2018,1.2 revotron xz,585000.0,2018,petrol,11949,1199,23.84
bangalore,manual,1,hyundai,hyundai xcent,2014,1.2 kappa s option,462000.0,2014,petrol,17794,1197,19.1
bangalore,manual,1,maruti,maruti sx4 s cross,2015,ddis 200 zeta,790000.0,2015,diesel,60000,1248,23.65
bangalore,manual,1,jeep,jeep compass,2020,2.0 longitude bsiv,1900000.0,2020,diesel,20000,1956,17.1
bangalore,manual,1,datsun,datsun go,2017,t option bsiv,345000.0,2017,petrol,37772,1198,20.63
bangalore,automatic,1,hyundai,hyundai venue,2021,sx plus turbo dct bsiv,1200000.0,2021,petrol,30000,998,18.15
bangalore,automatic,1,maruti,maruti ciaz,2018,alpha automatic bsiv,960000.0,2018,petrol,37000,1462,20.28
bangalore,manual,1,tata,tata tiago,2017,1.2 revotron xz wo alloy,585000.0,2018,petrol,11949,1199,23.84
bangalore,manual,1,maruti,maruti baleno,2018,1.2 delta,690000.0,2018,petrol,50000,1197,21.4
bangalore,automatic,1,hyundai,hyundai grand i10,2019,1.2 kappa sportz option at,682000.0,2019,petrol,24887,1197,18.9
bangalore,automatic,1,honda,honda jazz,2018,vx cvt,825000.0,2018,petrol,23000,1199,18.2
bangalore,automatic,1,tata,tata tiago,2018,1.2 revotron xza,595000.0,2018,petrol,48928,1199,23.84
bangalore,manual,3,mahindra,mahindra xuv500,2014,w6 2wd,690000.0,2014,diesel,108862,2179,15.1
bangalore,manual,1,jeep,jeep compass,2018,2.0 limited,1350000.0,2018,diesel,80000,1956,17.1
bangalore,automatic,1,mercedes-benz,mercedes-benz gla,2022,220d 4m bsvi,5595000.0,2022,diesel,16000,1950,14.916190476190483
bangalore,manual,2,hyundai,hyundai i20,2014,asta 1.4 crdi,521000.0,2014,diesel,65376,1396,21.27
bangalore,manual,1,tata,tata nexon,2022,xm plus s bsvi,1005000.0000000001,2022,petrol,10000,1199,17.33
bangalore,manual,2,honda,honda city,2016,i vtec v,775000.0,2016,petrol,67000,1497,17.8
bangalore,automatic,3,bmw,bmw 5 series,2011,520d sedan,2200000.0,2011,diesel,100000,1995,18.48
bangalore,manual,1,maruti,maruti swift,2016,vxi,582000.0,2016,petrol,18083,1197,22.38
bangalore,manual,1,renault,renault duster,2020,rxs,1090000.0,2020,petrol,30000,1498,16.42
bangalore,manual,2,tata,tata tiago,2016,1.2 revotron xz,457000.0,2016,petrol,57634,1199,23.84
bangalore,automatic,2,mercedes-benz,mercedes-benz s-class,2016,s 500 l,4900000.0,2016,petrol,50000,4663,7.81
bangalore,manual,1,honda,honda city,2015,i vtec v,550000.0,2015,petrol,110000,1497,17.4
bangalore,automatic,1,hyundai,hyundai santro,2018,sportz amt bsiv,570000.0,2018,petrol,23447,1086,20.3
bangalore,manual,2,hyundai,hyundai santro xing,2009,gls lpg,220000.00000000003,2009,lpg,30000,1086,13.45
bangalore,automatic,1,mercedes-benz,mercedes-benz e-class,2017,exclusive e 200,4145000.0000000005,2017,petrol,33000,1991,15.0
bangalore,manual,2,mahindra,mahindra xuv500,2014,w6 2wd,861000.0,2014,diesel,87667,2179,15.1
bangalore,automatic,2,audi,audi a4,2016,35 tdi premium,1785000.0000000002,2016,diesel,40000,1968,17.11
bangalore,manual,2,mahindra,mahindra xuv500,2014,w8 2wd,802999.9999999999,2014,diesel,79012,2179,15.1
bangalore,manual,1,jeep,jeep compass,2021,model s diesel bsvi,2565000.0,2021,diesel,31344,1956,17.1
bangalore,manual,1,hyundai,hyundai xcent,2018,1.2 vtvt sx,674000.0,2018,petrol,50000,1197,20.14
bangalore,manual,1,maruti,maruti wagon r,2015,vxi bs iv,349000.0,2015,petrol,12434,998,20.51
bangalore,manual,2,maruti,maruti ertiga,2019,zxi plus petrol,1050000.0,2019,petrol,60000,1462,19.34
bangalore,automatic,1,mercedes-benz,mercedes-benz c-class,2019,progressive c 220d,4425000.0,2019,diesel,12000,1950,12.6
bangalore,manual,2,maruti,maruti wagon r,2015,vxi bs iv,405999.99999999994,2015,petrol,40987,998,20.51
bangalore,automatic,1,bmw,bmw 5 series,2020,530i sport,4965000.0,2020,petrol,18157,1998,15.56
bangalore,manual,3,toyota,toyota fortuner,2011,3.0 diesel,1100000.0,2011,diesel,120000,2982,11.5
bangalore,automatic,2,renault,renault duster,2020,rxz 110ps amt bsiv,1100000.0,2020,diesel,40000,1461,19.87
bangalore,manual,1,hyundai,hyundai i20,2016,sportz 1.2,594000.0,2016,petrol,89667,1197,18.6
bangalore,manual,1,hyundai,hyundai i20,2017,asta option 1.4 crdi,710000.0,2017,diesel,120000,1396,22.54
bangalore,manual,1,maruti,maruti baleno,2017,1.2 zeta,692000.0,2017,petrol,56997,1197,21.4
bangalore,manual,1,hyundai,hyundai elantra,2013,sx,650000.0,2013,petrol,120000,1797,16.3
bangalore,automatic,1,audi,audi a6,2015,35 tdi,2089999.9999999998,2016,diesel,59000,1968,18.53
bangalore,manual,1,maruti,maruti alto 800,2021,vxi plus bsvi,411000.00000000006,2021,petrol,18835,796,22.05
bangalore,manual,2,mahindra,mahindra scorpio,2010,sle 7s bsiii,650000.0,2010,diesel,120000,2179,12.05
bangalore,automatic,1,mini,mini 3 door,2016,cooper s bsvi,3675000.0,2016,petrol,40000,1998,17.33
bangalore,manual,1,tata,tata tiago,2019,xz plus,610000.0,2019,petrol,60932,1199,23.84
bangalore,automatic,2,kia,kia seltos,2020,gtx plus dct,1675000.0,2020,petrol,33539,1353,16.5
bangalore,manual,2,tata,tata tiago,2018,1.2 revotron xz wo alloy,530000.0,2018,petrol,66837,1199,23.84
bangalore,automatic,1,mercedes-benz,mercedes-benz e-class,2022,amg e 350d bsvi,7990000.000000001,2022,diesel,400,2925,12.426
bangalore,manual,2,maruti,maruti alto,2008,lxi,250000.0,2008,petrol,60000,796,19.7
bangalore,manual,1,hyundai,hyundai i20,2019,magna plus bsiv,715000.0,2019,petrol,44285,1197,18.6
bangalore,automatic,2,mercedes-benz,mercedes-benz gl-class,2014,350 cdi blue efficiency,3500000.0,2014,diesel,100000,2987,11.3
bangalore,automatic,1,tata,tata new safari,2021,xza plus 6 str at bsvi,2250000.0,2021,diesel,25000,1956,14.08
bangalore,manual,1,hyundai,hyundai grand i10,2018,1.2 kappa asta,625000.0,2019,petrol,36735,1197,18.9
bangalore,automatic,1,audi,audi q7,2015,35 tdi quattro premium plus,2695000.0,2015,diesel,79000,2967,12.07
bangalore,manual,2,mahindra,mahindra scorpio,2010,sle bsiii,650000.0,2010,diesel,120000,2179,12.05
bangalore,automatic,1,renault,renault kwid,2022,1.0 rxt amt opt,550000.0,2022,petrol,10000,999,22.0
bangalore,manual,1,tata,tata nexon,2018,1.5 revotorq xm,825000.0,2018,diesel,53645,1497,21.5
bangalore,manual,2,hyundai,hyundai getz,2006,gls,220000.00000000003,2006,petrol,100000,1341,15.3
bangalore,automatic,1,maruti,maruti celerio,2014,vxi amt,428000.0,2014,petrol,53982,998,26.68
bangalore,manual,1,skoda,skoda rapid,2014,1.5 tdi ambition with alloy wheel,695000.0,2014,diesel,110000,1498,21.14
bangalore,manual,2,ford,ford ecosport,2019,1.5 petrol titanium,930000.0000000001,2019,petrol,37741,1496,15.9
bangalore,manual,1,maruti,maruti alto 800,2021,vxi plus bsvi,455000.0,2021,petrol,17367,796,22.05
bangalore,manual,1,hyundai,hyundai creta,2017,1.6 crdi sx plus,1195000.0,2017,diesel,94000,1582,19.67
bangalore,automatic,1,tata,tata harrier,2021,xza plus at,2175000.0,2021,diesel,33700,1956,14.6
bangalore,manual,3,maruti,maruti swift,2014,vxi,442000.0,2014,petrol,54601,1197,22.38
bangalore,manual,1,maruti,maruti swift,2018,vdi,690000.0,2018,diesel,110000,1248,28.4
bangalore,manual,2,maruti,maruti celerio,2017,zxi optional,500000.0,2017,petrol,64000,998,23.1
bangalore,automatic,1,bmw,bmw 3 series gt,2016,luxury line,3395000.0000000005,2016,diesel,40525,1995,21.76
bangalore,manual,1,maruti,maruti ciaz,2015,vdi plus,650000.0,2015,diesel,100000,1248,26.21
bangalore,automatic,2,honda,honda jazz,2016,1.2 v at i vtec,537000.0,2016,petrol,44154,1199,19.0
bangalore,manual,1,renault,renault lodgy,2016,110ps rxz 7 seater,750000.0,2016,diesel,70000,1461,19.98
bangalore,automatic,1,skoda,skoda octavia,2018,1.8 tsi at l k,1789999.9999999998,2018,petrol,79000,1798,15.1
bangalore,manual,2,tata,tata tiago,2017,1.2 revotron xt,468000.0,2018,petrol,68039,1199,23.84
bangalore,manual,2,maruti,maruti ritz,2014,vxi,420000.0,2014,petrol,60000,1197,18.5
bangalore,manual,1,hyundai,hyundai i20,2021,asta turbo imt dt,919999.9999999999,2021,petrol,10000,998,20.0
bangalore,manual,1,honda,honda city,2013,v mt,533000.0,2013,petrol,49873,1497,16.8
bangalore,automatic,3,volkswagen,volkswagen polo,2013,gt tsi,850000.0,2013,petrol,90000,1197,17.2
bangalore,manual,2,skoda,skoda rapid,2017,1.5 tdi ambition bsiv,751000.0,2017,diesel,48960,1498,21.13
bangalore,manual,2,hyundai,hyundai grand i10,2014,crdi era,388000.0,2014,diesel,70000,1120,24.0
bangalore,manual,2,hyundai,hyundai i20,2013,sportz 1.2,490000.00000000006,2013,petrol,68000,1197,18.5
bangalore,manual,1,mahindra,mahindra kuv 100,2016,mfalcon d75 k6,494000.00000000006,2016,diesel,23017,1198,25.32
bangalore,manual,2,hyundai,hyundai i20,2013,asta 1.4 crdi,525000.0,2014,diesel,83000,1396,21.27
bangalore,automatic,2,bmw,bmw x3,2016,xdrive20d xline,2890000.0,2016,diesel,92000,1995,16.55
bangalore,manual,1,maruti,maruti wagon r,2018,vxi plus optional,550000.0,2018,petrol,62139,998,20.51
bangalore,manual,1,hyundai,hyundai i10,2013,magna lpg,365000.0,2013,lpg,74000,1086,19.2
bangalore,automatic,2,renault,renault kwid,2016,1.0 amt rxt,420000.0,2016,petrol,26500,999,24.04
bangalore,automatic,1,volvo,volvo s60,2017,d4 kinetic,1895000.0,2017,diesel,81716,1969,27.03
bangalore,automatic,2,mercedes-benz,mercedes-benz e-class,2018,e 350d,5990000.0,2018,diesel,24000,2987,17.0
bangalore,automatic,1,mahindra,mahindra xuv300,2022,w6 amt sunroof bsvi,1050000.0,2022,petrol,10000,1197,17.0
bangalore,automatic,1,mg,mg hector plus,2021,sharp cvt,2075000.0,2021,petrol,18000,1451,16.56
bangalore,manual,1,honda,honda brio,2013,s mt,394000.0,2013,petrol,38197,1198,19.4
bangalore,automatic,2,maruti,maruti baleno,2017,zeta cvt,725000.0,2017,petrol,23000,1197,19.56
bangalore,manual,1,maruti,maruti alto k10,2013,lxi,240000.0,2013,petrol,50000,998,20.92
bangalore,automatic,1,renault,renault kiger,2022,rxz amt dt,835000.0,2022,petrol,10000,999,19.03
bangalore,manual,1,hyundai,hyundai grand i10,2019,1.2 kappa asta,695000.0,2019,petrol,19000,1197,18.9
bangalore,automatic,1,kia,kia seltos,2020,gtx plus dct,1725000.0,2020,petrol,14000,1353,16.5
bangalore,manual,1,hyundai,hyundai eon,2014,magna plus,330000.0,2014,petrol,29268,814,21.1
bangalore,automatic,1,volkswagen,volkswagen vento,2019,1.2 tsi highline plus at,990000.0,2019,petrol,20000,1197,18.19
bangalore,manual,1,toyota,toyota yaris,2018,g bsiv,750000.0,2018,petrol,30000,1496,17.1
bangalore,automatic,1,honda,honda jazz,2018,1.2 v at i vtec,755000.0,2018,petrol,64374,1199,19.0
bangalore,manual,1,mg,mg hector,2021,sharp diesel mt bsiv,1750000.0,2021,diesel,30000,1956,17.41
bangalore,automatic,1,hyundai,hyundai alcazar,2022,signature (o) at,2082999.9999999998,2022,petrol,7100,1999,14.2
bangalore,manual,1,hyundai,hyundai i10,2010,era 1.1 itech se,271000.0,2010,petrol,43679,1086,19.81
bangalore,automatic,1,hyundai,hyundai creta,2018,1.6 sx automatic,1280000.0,2018,petrol,40000,1591,14.8
bangalore,manual,1,hyundai,hyundai i20,2012,era 1.4 crdi,436000.00000000006,2012,diesel,40562,1396,22.54
bangalore,automatic,1,hyundai,hyundai venue,2019,sx plus turbo dct bsiv,1250000.0,2019,petrol,20000,998,18.15
bangalore,automatic,1,mahindra,mahindra xuv500,2016,at w8 fwd,1350000.0,2016,diesel,58600,2179,16.0
bangalore,automatic,1,volkswagen,volkswagen t-roc,2020,tsi,2225000.0,2020,petrol,42050,1498,18.4
bangalore,automatic,1,maruti,maruti celerio,2015,vxi at,475000.0,2016,petrol,65017,998,23.1
bangalore,automatic,2,bmw,bmw 3 series,2008,320d,600000.0,2008,diesel,80000,1995,13.2
bangalore,automatic,1,jeep,jeep compass,2021,model s dct bsvi,2450000.0,2021,petrol,30000,1368,14.1
bangalore,automatic,1,kia,kia seltos,2020,gtx plus dct,1625000.0,2020,petrol,20000,1353,16.5
bangalore,automatic,1,skoda,skoda superb,2014,elegance 2.0 tdi cr at,1650000.0,2014,diesel,36349,1968,17.2
bangalore,manual,3,hyundai,hyundai i10,2009,sportz 1.2,249000.00000000003,2009,petrol,80000,1197,20.36
bangalore,manual,2,renault,renault duster,2014,petrol rxe,630000.0,2014,petrol,83394,1598,13.24
bangalore,automatic,2,audi,audi q5,2016,30 tdi sport edition,2599000.0,2016,diesel,30000,1968,14.16
bangalore,manual,1,maruti,maruti alto k10,2017,vxi,385000.0,2017,petrol,52204,998,24.39
bangalore,manual,3,hyundai,hyundai i20,2012,1.2 sportz,300000.0,2012,petrol,110000,1197,17.0
bangalore,automatic,1,ford,ford endeavour,2017,3.2 titanium at 4x4,2975000.0,2017,diesel,89000,3198,10.91
bangalore,manual,2,maruti,maruti alto 800,2014,vxi,276000.0,2014,petrol,29813,796,22.05
bangalore,manual,1,ford,ford figo,2018,1.2p titanium opt mt,500000.0,2018,petrol,30000,1196,18.16
bangalore,automatic,1,maruti,maruti ignis,2020,1.2 amt zeta bsiv,730000.0,2020,petrol,13345,1197,20.89
bangalore,automatic,1,hyundai,hyundai alcazar,2022,1.5 signature (o) 7-seater diesel at,2245000.0,2022,diesel,17100,1498,18.1
bangalore,manual,1,hyundai,hyundai grand i10,2014,sportz,399000.0,2014,petrol,75000,1197,18.9
bangalore,manual,2,hyundai,hyundai i10,2011,sportz,312000.0,2011,petrol,75523,1197,20.36
bangalore,manual,1,mahindra,mahindra xuv500,2015,w10 2wd,1275000.0,2015,diesel,47000,2179,16.0
bangalore,manual,1,tata,tata harrier,2022,xt plus bsvi,1989999.9999999998,2022,diesel,36500,1956,16.35
bangalore,manual,1,renault,renault triber,2020,rxz,719000.0,2020,petrol,28253,999,20.0
bangalore,manual,1,hyundai,hyundai creta,2016,1.6 crdi sx plus,1260000.0,2016,diesel,50000,1582,19.67
bangalore,manual,2,hyundai,hyundai i10,2010,magna,300000.0,2010,petrol,90000,1197,20.36
bangalore,automatic,2,bmw,bmw x5,2016,xdrive 30d m sport,3981000.0,2016,diesel,70000,2993,15.97
bangalore,manual,1,hyundai,hyundai i20,2016,asta 1.2,627000.0,2016,petrol,52571,1197,18.6
bangalore,automatic,2,bmw,bmw 3 series,2010,320d highline,1300000.0,2010,diesel,70000,1995,16.07
bangalore,manual,1,honda,honda city,2015,i vtec v,672000.0,2015,petrol,61993,1497,17.4
bangalore,automatic,1,hyundai,hyundai tucson,2017,2.0 e-vgt 2wd at gl opt,1825000.0,2017,diesel,57000,1995,16.38
bangalore,manual,2,toyota,toyota fortuner,2021,2.8 2wd mt,3500000.0,2021,diesel,80000,2755,14.24
bangalore,manual,1,hyundai,hyundai i20,2013,sportz 1.2,440000.00000000006,2013,petrol,36359,1197,18.5
bangalore,manual,2,tata,tata harrier,2019,xz bsiv,1460000.0,2019,diesel,70000,1956,17.0
bangalore,automatic,1,mg,mg hector,2022,sharp cvt,2041000.0,2022,petrol,7500,1451,14.03014285714286
bangalore,automatic,1,hyundai,hyundai verna,2017,vtvt 1.6 at sx option,1033000.0,2017,petrol,30301,1591,17.0
bangalore,manual,1,hyundai,hyundai i10,2010,sportz 1.2,275000.0,2010,petrol,66000,1197,20.36
bangalore,manual,1,hyundai,hyundai i20,2017,sportz 1.2,676000.0,2017,petrol,56010,1197,18.6
bangalore,automatic,1,mercedes-benz,mercedes-benz glc,2017,220d 4matic style,4290000.0,2017,diesel,47000,2143,17.9
bangalore,manual,2,nissan,nissan terrano,2014,xv premium 110 ps,650000.0,2014,diesel,60000,1461,19.01
bangalore,manual,1,maruti,maruti swift,2014,vdi bsiv,444000.00000000006,2014,diesel,83829,1248,25.2
bangalore,automatic,1,renault,renault kwid,2020,1.0 rxt amt opt,509999.99999999994,2020,petrol,10000,999,22.0
bangalore,automatic,2,renault,renault duster,2016,110ps diesel rxz amt,925000.0,2016,diesel,35000,1461,19.6
bangalore,automatic,2,honda,honda city,2019,i-vtec cvt v,1024000.0,2020,petrol,51116,1497,18.0
bangalore,manual,3,skoda,skoda rapid,2016,1.5 tdi elegance black package,500000.0,2016,diesel,80000,1498,21.14
bangalore,automatic,2,volkswagen,volkswagen polo,2017,gt tsi,994999.9999999999,2017,petrol,40000,1197,17.21
bangalore,automatic,2,honda,honda cr-v,2012,2.4l 4wd at,935000.0,2012,petrol,85565,2354,11.1
bangalore,manual,1,ford,ford ecosport,2018,1.5 petrol titanium plus bsiv,834000.0,2018,petrol,36916,1497,17.0
bangalore,manual,1,volkswagen,volkswagen polo,2015,1.5 tdi highline,560000.0,2015,diesel,90000,1498,20.14
bangalore,manual,1,maruti,maruti swift,2012,vxi,454000.0,2012,petrol,112795,1197,22.38
bangalore,manual,2,toyota,toyota innova,2014,2.0 vx (petrol) 7 seater,1100000.0,2014,petrol,120000,1998,11.4
bangalore,manual,2,honda,honda brio,2016,s mt,462000.0,2016,petrol,36685,1198,19.4
bangalore,automatic,2,hyundai,hyundai santa fe,2012,4x4 at,900000.0,2012,diesel,120000,2199,11.72
bangalore,automatic,1,bmw,bmw 6 series,2022,gt 630i m sport bsvi,7900000.0,2022,petrol,4000,1998,13.32
bangalore,automatic,2,maruti,maruti baleno,2019,1.2 cvt alpha,843000.0,2019,petrol,32184,1197,21.4
bangalore,manual,1,maruti,maruti baleno rs,2018,1.0 petrol,799000.0,2019,petrol,32279,998,21.1
bangalore,manual,1,hyundai,hyundai i20,2015,asta option 1.2,576000.0,2015,petrol,59698,1197,18.6
bangalore,manual,1,renault,renault captur,2018,1.5 diesel platine,949000.0,2018,diesel,46071,1461,20.37
bangalore,manual,1,maruti,maruti vitara brezza,2017,zdi,795000.0,2017,diesel,90000,1248,24.3
bangalore,manual,1,hyundai,hyundai venue,2019,sx turbo bsiv,1085000.0,2019,petrol,9554,998,18.27
bangalore,automatic,1,jeep,jeep compass,2022,1.4 limited opt dct bsvi,2590000.0,2022,petrol,14000,1368,14.1
bangalore,manual,2,renault,renault duster,2013,85ps diesel rxe,516000.0,2013,diesel,74499,1461,20.45
bangalore,automatic,2,ford,ford ecosport,2017,1.5 petrol trend plus at bsiv,777000.0,2017,petrol,56211,1497,14.8
bangalore,manual,1,honda,honda jazz,2019,v,753000.0,2019,petrol,9001,1199,18.2
bangalore,automatic,2,mahindra,mahindra xuv500,2017,at w10 1.99 mhawk,1226000.0,2017,diesel,65457,1997,16.0
bangalore,manual,1,honda,honda jazz,2017,1.2 v i vtec,725000.0,2017,petrol,23682,1199,18.7
bangalore,manual,1,hyundai,hyundai verna,2020,crdi 1.6 sx,1150000.0,2020,diesel,50000,1582,22.0
bangalore,manual,2,maruti,maruti swift,2015,zdi bsiv,629000.0,2015,diesel,134557,1248,25.2
bangalore,manual,2,maruti,maruti swift dzire,2013,vxi,447000.0,2013,petrol,96567,1197,22.41
bangalore,manual,2,maruti,maruti ertiga,2014,zdi,786000.0,2015,diesel,83007,1248,20.77
bangalore,manual,1,honda,honda jazz,2018,1.2 vx i vtec,745000.0,2018,petrol,34000,1199,18.7
bangalore,automatic,1,hyundai,hyundai grand i10,2014,at asta,490000.00000000006,2014,petrol,81634,1197,18.9
bangalore,automatic,2,honda,honda city,2017,i-vtec cvt zx,942000.0,2017,petrol,57284,1497,18.0
bangalore,automatic,2,ford,ford ecosport,2016,1.5 ti vct at titanium bsiv,675000.0,2016,petrol,70000,1499,15.63
bangalore,manual,2,honda,honda brio,2013,s mt,330000.0,2013,petrol,70000,1198,19.4
bangalore,automatic,2,toyota,toyota yaris,2018,g cvt bsiv,875000.0,2018,petrol,46429,1496,17.8
bangalore,manual,1,maruti,maruti baleno,2017,1.2 alpha,869000.0,2018,petrol,17624,1197,21.4
bangalore,manual,2,volkswagen,volkswagen vento,2012,diesel highline,425000.0,2012,diesel,100000,1598,20.54
bangalore,manual,1,honda,honda city,2019,i-vtec v,1070000.0,2019,petrol,30000,1497,17.4
bangalore,manual,2,ford,ford ecosport,2018,1.5 petrol titanium,1025000.0,2018,petrol,49690,1496,15.9
bangalore,manual,1,mahindra,mahindra xuv500,2016,w6 2wd,1000000.0,2016,diesel,110000,2179,16.0
bangalore,manual,1,fiat,fiat linea,2009,emotion pack,375000.0,2009,petrol,50000,1368,16.0
